,name,location,date,content
2236,Customer,US,"Nov 30, 2021",N/A
2237,Customer,US,"Nov 30, 2021",N/A
2238,Paul & Crystal,US,"Nov 30, 2021","Thank you Matthew at Aardy, you made my task of signing up for travel medical easy, quick & headache free."
2239,Dan Leeber,US,"Nov 30, 2021","Very easy, seamless transaction"
2240,Customer,US,"Nov 30, 2021","First time working with Aardy.  Matthew, the agent I spoke with, was very helpful, courteous, professional and patient in discussing various options.  Time will tell how well Aardy responds in the future, should any hiccups occur between now and the end of my anticipated trip."
2241,Customer,US,"Nov 30, 2021",N/A
2242,Peter Valiante,US,"Nov 30, 2021","Spoke to rep on telephone. She was very helpful, pleasant, and well informed about all the options."
2243,Customer,US,"Nov 30, 2021","TIffany was my agent. She was quite knowledgeable.  There was no hesitancy on her part.  She had the answers to all my questions on her ""fingertips"".  Most importantly, I felt comfortable getting all the information I needed.  Tiffany provided excellent customer service which included being patient and friendly.  Thank you."
2244,S. Griffin,US,"Nov 30, 2021","Katrina was very helpful in explaining the various coverages of all the available policies and answered all my questions with professionalism and expert knowledge. I hope I don’t have to use my travel insurance but if I do, I hope my call will be answered as quickly and as thorough as she did."
2245,Customermichael Barker,US,"Nov 29, 2021",The agent was helpfull and sold us a policy which will helps us feel we are protected should we need to use it.
2246,Chris,US,"Nov 29, 2021",N/A
2247,Csb- Customer,US,"Nov 29, 2021",The gentleman I spoke with was very helpful and explained things very clearly.
2248,P. Russell,US,"Nov 29, 2021",Our AARDY representative was excellent and she made the process of purchasing travel insurance was very easy.
2249,Dana Fleet,US,"Nov 29, 2021",First time user.  So far very happy.  Knowledgeable and very  helpful.
2250,Customer,US,"Nov 29, 2021","Great and patient customer service!  AND, they answered the phone within seconds of me dialing in- love that!"
2251,Customer,US,"Nov 29, 2021",All my questions were answered and I was quickly able to purchase the Travel Insurance that I needed
2252,Customer,US,"Nov 29, 2021","The website and the two agents with whom I communicated were extremely helpful.  I checked the quotes I received against another website and they were exactly the same, which is what I expected, but wanted to verify."
2253,Juanita Ceasar,US,"Nov 29, 2021",Ana was very helpful and patient. She forwarded information for me to complete. I called back and spoke to Brandon and he stepped me through completing the information. Brandon displayed excellent customer service.
2254,Customer,US,"Nov 29, 2021","Agent was very well spoken, clear,concise"
2255,Dennis Dobosz,US,"Nov 29, 2021",FELICIA WAS VERY HELPFUL AND RESPONDED IMMEDIATELY TO ALL OF MY QUESTIONS AND CONCERNS.
2256,Pat Henson,US,"Nov 29, 2021","My husband and I have an upcoming cruise (45 days away!) and decided we needed insurance. It was too late to buy insurance through the cruise line, so we went to Aardy. We were offered several options for coverage. We placed a call to Aardy and talked with Denise. She was very helpful. She explained the various options and made a recommendation. We felt that the cost of the policy was very reasonable. Thanks for making it so easy to purchase travel insurance!"
2257,Customer,US,"Nov 29, 2021",N/A
2258,Pamela,US,"Nov 28, 2021",Easy to use. Easy to understand. Great comparisons!
2259,Mick,US,"Nov 28, 2021",Person was very helpful and very knowledgeable and very please
2260,Customernancy,US,"Nov 28, 2021",N/A
2261,Customer,US,"Nov 28, 2021",answered my question efficiently and succinctly.
2262,Customer,US,"Nov 28, 2021",Katrina was able to answer the questions I had about the comparisons I was looking at.  She was very personable and helpful in guiding me to the most advantageous policy for me.
2263,Linda,US,"Nov 28, 2021",This was a very helpful website for finding travel insurance.
2264,Win,US,"Nov 28, 2021",It was simple and easy to use. Thank you so much. It took the hassle out of travel for sure.
2265,Customer,US,"Nov 27, 2021",N/A
2266,Happy Customer,US,"Nov 27, 2021","After a very bad experience with a travel insurance company in 2019 we were leery of purchasing another policy. Friends recommended AARDY to us. We used their well laid out website but still had some nagging questions, so as to NOT experience again the bad experience. We called them and went through the details of the policy with their representative, Erin, who explained the details of the policy and restored our trust in travel insurance companies."
2267,Customer,US,"Nov 27, 2021",Great teamwork from online chat transferred to agent on phone. Had all the answers
2268,Louis,US,"Nov 27, 2021",Site easy to find what I needed and easy to purchase.
2269,Sue Thoele,US,"Nov 26, 2021","Matthew, the agent, was helpful, friendly, and efficient!"
2270,Gail A,US,"Nov 26, 2021","Working with Jerome at AARDY was wonderful.  He was patient, and very informative. He answered all my questions and helped me purchase the right travel insurance for an upcoming cruise.  I would highly recommend this company and will use them for all future trips."
2271,Rafael,US,"Nov 26, 2021","I dealt with 2 people at Aardy, Felicia and Mathew.  Both deserve five stars as both were friendly, knowledgeable and informative.  I applaud them both for exceptional service. Many thanks!"
2272,Brian,US,"Nov 26, 2021",This site was easy to use.  Price was very good.
2273,R. J. S.,US,"Nov 26, 2021",Agent what intuitive and new what we needed. Cut a deal on the first call. Bravo
2274,Brooks Makan,US,"Nov 26, 2021",Great help w getting me a policy and clearly explaining it thx
2275,Rolf Loescher Md,US,"Nov 26, 2021","very happy with the Aardy service.The agent answered all of my questions clearly and thoroughly.Happy with the quotes, and found the service very helpful.I expect we will use their services again in the future."
2276,Cavedweller,US,"Nov 26, 2021","Anna, was very helpful and was able to explain the aspects of the policy."
2277,Customer,US,"Nov 26, 2021",N/A
2278,Customer,US,"Nov 25, 2021",Aardy was easy to use and find the optimum travel insurance for our trip. Hopefully we will not use the insurance but if so that will be the true test of the insurance.
2279,William Gore,US,"Nov 25, 2021",Everything I wanted at a reasonable price.
2280,Ed,US,"Nov 25, 2021",The process was simple the representative Terry was very knowledgeable. The cost was fair. We will use them for future trips.
2281,Carrellaj,US,"Nov 24, 2021",N/A
2282,Jude,US,"Nov 24, 2021",Brandon was very helpful and extremely knowledgeable. He was also very pleasant and patient. It was great to be treated so nicely. He knew to advise me and inform me of the coverage for my travel insurance policy. I could not ask for better or more able assistance.
2283,Customer,US,"Nov 24, 2021",Excellent and timely support on both chat and phone. Agent wiling to get deep in the weeds on contract language and contacting insurer for clarifications. Really good service!
2284,Customer,US,"Nov 24, 2021","Kind and informative service on the phone! Thanks, Terri!"
2285,Jim,US,"Nov 24, 2021","This is my first experience purchasing travel insurance, so I had a few questions.  Mathew answered my questions clearly and I was comfortable with the policy I purchased."
2286,Customer,US,"Nov 24, 2021",Jerome was very helpful! Would definitely get insured for our next trip though him as well.
2287,Ram S,GB,"Nov 24, 2021","Site was easy to use. Explanation of the features were found easily. Choices were many. Reliable insurance companies. When I called the CSRs were very courteous, knowledgeable and fast."
2288,Customer,US,"Nov 24, 2021","Denise was very thorough in explaining policy , she helped in the decision to choose policy for our needs"
2289,Customer,US,"Nov 23, 2021",Easy to buy online.  Good price.  Looks like great coverage.
2290,Sheldon,US,"Nov 23, 2021","Great experience thank you. Patient, professional and fast."
2291,Wendy,US,"Nov 23, 2021",I recently purchased travel insurance from AARDY.  The website gave my thorough information.  I spoke briefly to an agent through chat and was immediately given a quote.  The whole process was very efficient. The policy fulfills my needs. I will purchase travel insurance through them again.
2292,Laura Leary,US,"Nov 23, 2021",N/A
2293,Cathy Straka,US,"Nov 23, 2021","Aardy.com was great when it came to finding insurance for my trip to Spain. They did all of the ""legwork."" I had several quotes in a matter of minutes. It was quick, easy and straight forward. They found me a great deal with a wonderful company providing extensive coverage for a very fair price. I would never have been able to find this type of insurance coverage on my own. I highly recommend Aardy."
2294,Connie ,US,"Nov 23, 2021",The agent saved me hours of research time and confusion by immediately directing me to the insurance plan that met my needs.  So satisfied!  Thank youl.
2295,James Morgenstern,US,"Nov 23, 2021",I  am a little unclear on the terms of the policy and the coverage.  Perhaps because I am a prior customer.  But I did speak with your agent in Arizona who clarified.Because of my misunderstanding of what Aardy offers I will probably not be a client in the future.
2296,Jerry Cooper,US,"Nov 23, 2021","Agent Matthew was most helpful in arranging travel insurance for an upcoming cruise.  Options were reviewed, he was careful explaining the features we needed, and compairson was made with that offered by the travel agent.  His recommendation was less costly and had better features. It was a pleasure to do business with him."
2297,Jim K,US,"Nov 23, 2021","Quick, efficient and very helpful in answering any questions. Will use again!"
2298,Customer,US,"Nov 23, 2021",Would of given  5 stars if site ask if cruise or flying. Right away.
2299,Marleen,US,"Nov 23, 2021",Very easy to navigate getting quotes and they care about their customer’s satisfaction.
2300,James,US,"Nov 23, 2021","Knowledgeable agent. She homed in on my needs, provided excellent suggestions and explained some of the mysteries of travel insurance. It was an excellent experience."
2301,Customer,US,"Nov 23, 2021",So very easy to deal with and find information: truly a pleasure to work with the site and informative help if calling is needed! Thank you !
2302,Customer,US,"Nov 23, 2021",N/A
2303,Janet,US,"Nov 22, 2021","I always buy our trip insurance policies through Aardy because I get a good price for the coverage and the customer service representatives are great - knowledgeable, easily accessible, and really helpful. I know I can trust that Aardy deals only with reputable insurance companies and it is really nice to be able to compare various quotes all in one place and know that Aardy representatives are there to answer any questions I might have."
2304,Customer,US,"Nov 22, 2021","Thanks to Agent Ardy.  Not only did you help with a situation where I had difficulty downloading my documents but you made things easy by sending PDFs which were simple to open and print.  Your knowledge, curtesy and friendly help was definitely appreciated.  Thanks from EAM-L, customer"
2305,Mr. Robert Bierman,US,"Nov 22, 2021",listed several policies but could not find results
2306,Yin & Yang,US,"Nov 22, 2021",Very easy to get a quote and waited under 5 minutes to talk to an actual person!  She was very knowledgeable about insurance products and asked a few questions in order to give me an accurate quote.  Answered all of my questions...I was pleased with the service.
2307,Customer,US,"Nov 22, 2021",Thank you. Lots of information.
2308,Customerbarbara F,US,"Nov 22, 2021","Agents are well informed, very responsive and always courteous."
2309,Customer,US,"Nov 22, 2021",N/A
2310,Sue Williams,US,"Nov 22, 2021","The phone agent with whom I worked was extremely pleasant, very informative and helpful. I appreciated her explanation of the policy we chose."
2311,Customer,US,"Nov 22, 2021",The website was very easy and understandable
2312,Customer,US,"Nov 22, 2021",Almost double the cost of the same coverage on other sites.  It's a shame AARP supports you guys given how you try and rip people off. Shame on you.
2313,Customer,US,"Nov 21, 2021","Fantastic Agent!  Very Informative! Easy, Breezy, Beautiful, Cover Girl!"
2314,Satisfied Colorado Customer,US,"Nov 21, 2021","Website easy to use and was able to compare different policies.  Once decision made about which policy, it was issued immediately."
2315,Valued Customer,US,"Nov 21, 2021",your service really was not useful to us- though done in easy manner on-linewish it was said w/business class international seats- you can cancel at any time w/out reason
2316,Eileen Lin,US,"Nov 21, 2021",Katrina is very helpful.  She give me an answer quick and to the need I am looking for.
2317,Lissa,US,"Nov 21, 2021","Your quote was very, very good.  You have covered everything we need and quoted for two travelers, which I liked."
2318,Jeff,US,"Nov 20, 2021",The rep Matt was super knowledgeable and helpful  Great customer service which made my decision to purchase through this company
2319,Happy Customer,US,"Nov 20, 2021",Matthew was amazing and so helpful!  Thank you!
2320,Mark,US,"Nov 20, 2021",Simple and seamless with knowledgeable agent
2321, Dvh,US,"Nov 20, 2021","When I went to the website, I was pleased to see a phone number pop up and offer assistance by speaking with a representative. Matthew provided excellent customer service and made it easy to get the quote."
2322,Customer,US,"Nov 20, 2021","Quickly answered my call.  Agent was knowledgeable, professional, friendly,"
2323,Customer,US,"Nov 20, 2021",N/A
2324,Deborah Bifulco,US,"Nov 20, 2021",Very easy to get multiple options with just a few clicks.  And you don’t have the hassle of getting lots of unwanted emails!
2325,James,US,"Nov 20, 2021","I am happy st now shopping for travel insurance. Even so, the Aardy web site is exceptionally helpful in learning about different travel insurance companies and their plans. I’ll be back to purchase my policy."
2326,Bill K,US,"Nov 20, 2021",Have had Aardy for years and always use on travels. Had to use once and was very happy with how they helped. Would definitely recommend!
2327,Customer,US,"Nov 19, 2021",Awesome service knowledgeable personal to answered  all my questions.
2328,Gilbert Epstein,US,"Nov 19, 2021","i had a difficult trip to insure. different arrival and departure dates, different states of departure. insufficient distance to vacation venue. Brandon walked me thru it all. he answered all my questions with patience and competence. i think i got the best coverage at the best price.. good job Brandon"
2329,John Hopkins,US,"Nov 19, 2021","My agent was Denise. She could not have been nicer. She was efficient, to the point, understanding of my needs and took care of everything professionally and courteously. A pleasure"
2330,Customer,US,"Nov 19, 2021",Mathew did a great job in answering my concerns & quickly got me my travel insurance Thank You
2331,Customer,US,"Nov 19, 2021","We called for information to follow up on an online quote, we spoke with Terry and found a very knowledgeable person who responded to our questions and concerns in prompt and precise terms.   As we explored the benefits and limitations of the policy, we found that the potential policy had more flexibility on timing and less restrictive conditions than the online language implied to us. Leading to a commitment on our part,  As of this writing we feel that policy selected provides good value for the coverage provided and meets our needs."
2332,Customer,US,"Nov 19, 2021",Very helpful to be able to compare on one screen.
2333,Gail Bowen,US,"Nov 19, 2021",The agent I spoke to was very informative.  Super efficient and friendly. I will use AARDY again for future trips.
2334,Customer,US,"Nov 19, 2021",Very helpful and informative. Took the time to answer all questions
2335,Susan M,US,"Nov 19, 2021",I was so excited to find out about your company.  The insurance offered from the Cruise line was ridiculous.  Steven was wonderful to work with.  I am traveling with 5 others and he guided my through the process of getting us set up with the best plans.
2336,Customer,US,"Nov 19, 2021",The lack of coverage relating to the pandemic only confirms that insurance companies want your money but have no interest in being a traveler's safety net.
2337,Customer,US,"Nov 19, 2021",the person who I talked to on the phone was very knowledgeable. He answered all my questions and was patient to see me through the entire transaction.
2338,Florence Fracarossi,FR,"Nov 18, 2021",Very efficient chatting system with Felicia followed by a phone call from Jerome who was able to help me make an informed decision on which policy to pick. This website is awesome and the customer help is above and beyond. I will definitely come back to this website for future needs
2339,Bunny,US,"Nov 18, 2021","The information on the website is excellent and we were able to find the insurance that was best for us.  The only change that I would suggest, is when you go back to the quote and then buy the plan, it doesn't give you an opportunity to review/change the start date of the trip or the total amount.  When I initially did the query, I had not yet booked the trip and I guessed at the amount.  I just picked an arbitrary date.  I did not realize this until the purchase was complete."
2340,Amy,US,"Nov 18, 2021",The agent we talked with was very knowledgeable and explained the po0licies clearly. The response time was almost immediate.
2341,Darlene Magdaluyo,US,"Nov 18, 2021",Easy to find great insurance for what we needed
2342,Frank Morley,US,"Nov 18, 2021","It was easy, clear an full instructions and explanations, thank you for making it quick and easy."
2343,Customer,US,"Nov 18, 2021",Patient response with lots of information.
2344,Alvin Peters,US,"Nov 18, 2021",All questions answered to my satisfaction!Easy to talk to. To the point. Matt knew his stuff. Was able to answer all my questions. Ordered on the spot.
2345,Customer,US,"Nov 18, 2021",I cannot comment on how claims are handled - only that the customer service associates we dealt with were very helpful in explaining each policy and their recommendations.
2346,Carole W.,US,"Nov 18, 2021","Aaron was helpful and efficient  to hook me up withe right policy.  Thanks, Aaron."
2347,Susan,US,"Nov 18, 2021",The website was very easy to use.  I had to call the customer service number since I had a question and the representative was very helpful and kind.
2348,Diane Elliott,US,"Nov 18, 2021",Representative was pleasant and helpful.Not sure how a quote can increase in less than twenty four hours from$421.96 to $482.94.
2349,Mary Shippy,US,"Nov 17, 2021",Easy and straightforward. Love the info on the quotes
2350,Mark,US,"Nov 17, 2021",Fast and easy way to compare shop and get the best pricing!  Highly recommended Mark P Michigan
2351,Customer,US,"Nov 17, 2021",N/A
2352,Judy,US,"Nov 17, 2021",Aaron on the phone call was excellent to speak with.  He called immediately and was able to explain things I was confused about.  It was also incredibly pleasant to speak with someone who I could understand easly. Response on the Chat box was immediate and helpful as well.
2353,Steve B,US,"Nov 17, 2021","Site was easy to 'Travel' through and clearly presented.  Found tips and travel fundamentals  helpful and well written.  Also talked with an agent, 'Jerome'. He was very personable, helpful but concise and clear, No pressure what's so ever.  Overall a great purchase experience."
2354,Customer,US,"Nov 17, 2021",It was a very easy tool to use! I will definitely use it again!
2355,Customer,US,"Nov 17, 2021","Great experience! As I started the process I received a popup that said- ""have questions? please feel free to call us"".  I called and was connected right away to a rep that answered all my questions and we got the policy completed while I was on the phone. The rep was very personable and knowledgeable. I have had so many Customer Service nightmares lately. This was so refreshing. My first experience with Aardy was several years ago and I actually spoke with the Owner of the company, He was amazing and it seems as though he has set the standard for his employees."
2356,Toby Goldstein,US,"Nov 17, 2021","After an arduous experience booking travel, it was a delight to find Aardy.com for help with travel insurance. The virtual agent was clear and helpful. But when I called to speak with an agent, I got through immediately and was fortunate to speak with Jerome,Jerome was knowledgeable, respectful, patient and helpful in answering my questions and finding the right policy for my needs.Thank you Aardy for making this easy!"
2357,Valued Customer,US,"Nov 17, 2021",We just purchased a policy.  Process was easy.  Peace of mind due to our ages and CoVID.
2358,Nancy Mac,US,"Nov 17, 2021","Jonathan was great.  He explained every question that I had, plus more.Thank you.  You did a great job."
2359,Customer,US,"Nov 17, 2021","The representative I spoke with was extremely polite, knowledgeably and helpful. He patiently answered all my questions and quickly directed me to a policy that was perfect for our needs."
2360,Shivani Lakshmi,IN,"Nov 17, 2021",It is very excellent to travel through this and amazing services through the travelling
2361,Avsreader,US,"Nov 17, 2021","Sure, I think this site is great.  But if the insurance company I picked doesn't honor any claim I will be unlikely to file, I might change my opinion."
2362,Doublet,US,"Nov 17, 2021",I found it very easy to find an insurance for our travel that fit our needs.  And I liked that it was easy to compare policies.
2363,"Christine W., Customer",US,"Nov 16, 2021","Brandon was very helpful.  He answered all my questions and ran several quotes for me to help me compare policies.  After all his hard work, I went with the policy he initially suggested.  Thank you."
2364,Chris,US,"Nov 16, 2021",Quick response and excellent explanation of the benefits related to our trip.
2365,John,GB,"Nov 16, 2021",Highly recommend. Good service.
2366,Customer,US,"Nov 16, 2021",Katrina was very helpful.  I had a million questions and she was patient and found solutions to what I was looking for.
2367,Kk,US,"Nov 16, 2021",Catherine was helpful and efficient.
2368,Andi,US,"Nov 16, 2021",N/A
2369,Donald,US,"Nov 16, 2021","I purchased a travel insurance policy today through Aardy.com.  The two CSRs I spoke to were polite and helpful, and the purchase process was easy.  I hope and assume they will be as helpful if I need them going forward, but we shall see."
2370,Robbie A,US,"Updated Nov 16, 2021",I hate looking for travel insurance but AARDY made it easy with lots of choices and quoted prices up front. I used the online help which did help but they offered to call me if I had more questions. and I did being in this Covid world. They called me with in a couple minutes and Ana was a real pleasure to talk to she gave me options and left the decision to me. No pressure or Hassle. Thank you so much great doing business with you guys
2371,Customer,US,"Nov 16, 2021",N/A
2372,Craig Weinstein,US,"Nov 15, 2021","Good price, site is easy to use and efficient."
2373,Customer,US,"Updated Nov 15, 2021",The CS was very helpful with explaining the various plans. Her suggestions were great. I ended up buying the plan she suggested.
2374,Kathryn Inkinencustomer,US,"Nov 15, 2021",Katrina assisted me.  Very efficient and polite.  Fast but did not hurry me. Walked me through some of the paperwork and which I should print and keep with me on the trip.
2375,Jim King,US,"Nov 15, 2021",Best price as well as service for travel insurance.  Couldn't be happier.I am referring all my traveling companions to this company
2376,Kathy,US,"Nov 15, 2021","I used the live chat and was very happy with the responsiveness of the representative.  She had one of the agents call me to review the policy that they recommended, and he was able to answer all of my questions.  I was impressed with the policy they recommended.  Very good experience!"
2377,Customer,US,"Nov 15, 2021","Excellent client managers. Provided timely feedback in explaning policy details. Pleasant,  professional and knowledgeable. Hopefully I will not need to file any claims. However, if I do, I will rate AARDY again re promised support in claims processing."
2378,Rick Affron,US,"Nov 15, 2021","Web page was easy to use , however I did have issue with the credit app as it was asking for things such as my pin # which is not required."
2379,Tracy,US,"Nov 15, 2021","Overall was happy with the initial quotes but, I went back to make a change in the personal information I had entered before checkout, the price quotes went up. I can't review based on the actual policy that we ended up getting just yet. However, for people on a budget and as a trusted site representing older individuals it was disappointing that you use the ""dynamic pricing"" gimmick to force people to pay higher pricing than initially quoted for something this important. Just like airlines do. I find that to be a really poor business practice. I don't know why websites are able to get away with it. I know insurance companies can be sketchy .. let's hope if I need to file a claim that they come through. Will review later if needed."
2380,Customer,US,"Nov 15, 2021","Agent who took my call and booked the travel insurance was friendly, helpful, and knowledgeable."
2381,Jen,US,"Nov 15, 2021","Thanks, Denise! Appreciate all the help. 😊"
2382,Bob Bradfield,US,"Nov 14, 2021",Quick and easy. Good price.
2383,Candace Yanagihara,US,"Nov 14, 2021","I've been studing the various policies for the last month using various travel insurance marketplaces.  I've found AARDY very responsive whenever I've sent questions in.  Ana has been most patient and informative and, Catherine, responded quickly when Ana wasn't working yesterday.  Catherine even shared Ana's next work days/hours and included the Hawaii time!  I appreciated each woman's thoroughness and help.  Excellent customer support."
2384,Rosie,US,"Nov 14, 2021","I have used this company before, Thankfully, never had to file a claim.  I have had to reach out to them during pandemic and cruise cancellations.  They were always responsive to my email correspondence ( very quick to address my question) which make me a very happy customer.The online chat was impressive along with the offer to speak to a representative, who were excellent at answering my questions.As our cruise life is rebounding, I look forward to obtaining our insurance through Aardy.com"
2385,Customer,US,"Nov 14, 2021",I had a number of questions regarding travel insurance policies. The representative I spoke with was very helpful resolving my concerns.
2386,Customer,US,"Nov 14, 2021",Super easy to understand but still called and talked to representative-which clarified any questions!
2387,Rochelle,US,"Nov 14, 2021",Thank you for your help
2388,Jean Vicary,US,"Nov 14, 2021",Information presented on the web helped greatly in reaching a decision to obtain travel insurance.
2389,Md. Raihan Sarkar,BD,"Nov 14, 2021",Aardy.com was very easy to sign up.I like it very much.
2390,Kb,US,"Nov 14, 2021",Terrific advice and super quick. Perfect  for me and my timeline as well as my  purse!
2391,Customer,US,"Nov 14, 2021",Aardy.com was very easy to sign up for and they made it very clear which policy was the least expensive and which provided the best coverage.
2392,Barbara Johnson,US,"Nov 14, 2021",This site was very easy to use and had the best prices.
2393,Donald,US,"Nov 14, 2021",Best price and most complete travel insurance info anywhere.
2394,R A Dalois,US,"Nov 13, 2021",Good prices and selections
2395,Boni,US,"Nov 13, 2021","Aardy representive Terry was amazing.  She answered all my questions professionally, with clarity and detail.  It was a good experience, representative was easy to understand, connections were very good."
2396,B. Mack,US,"Nov 13, 2021",Very easy to use; clear & concise info provided.
2397,Customer,US,"Nov 13, 2021","I had good advice and a good deal, thank you."
2398,Customer,US,"Nov 13, 2021",Excellent customer service and very knowledgeable! Terry was very helpful.
2399,L Phillips,US,"Nov 13, 2021",Excellent customer service.Answered all our questions.
2400,The Funky Gads,US,"Nov 13, 2021",Aaardy is one the best insurance services i ever used. Their website is super user friendly and the prices are cheaper compared to other Insurance agencies
2401,Customer,US,"Nov 13, 2021",Catherine was the person who handled my request for travel insurance.  She was wonderful.  She was very knowledgeable and an excellent communicator.  5 stars for Catherine too.
2402,Lydia Montgomery,US,"Nov 13, 2021","I don't use the internet very much so called & was immediately connected with an extremely pleasant & efficient agent who understood exactly the type of insurance I wanted.I was buying it for our daughter & her friend, within my minutes I had exactly what I was interested in & in a very short time she had all their information & shortly after I had received the policy for both of them.Excellent service!"
2403,Geraldine,US,"Updated Nov 13, 2021",I spoke with Denise and she was very knowledgeable & explained the different travel policies.  She was very patient in answering my questions.
2404,Customer,US,"Nov 13, 2021",It was very helpful to have the benefits listed so they could be easily compared.
2405,Roberta,US,"Nov 12, 2021","Fast, efficient, easy.  Worked with Denise.  She found what I wanted, explained it clearly, and the price is considerably less than offered by the tour company, for the same benefits."
2406,Customer,US,"Nov 12, 2021",A very pleasant and informative person who handled our transaction
2407,Customer,US,"Nov 12, 2021","Found you via AARP.  I spoke with Brandon, very knowledgeable, very helpful.  Purchasing policy was easy and affordable."
2408,Mrs. Lisa,US,"Nov 12, 2021","I was pretty much at a loss sorting through various insurance options by myself and then I called and spoke to TERRI ....in a matter of a few minutes she gave me several options that I could chose from and I pretty quickly settled on one option that seemed good and right for our circumstances !!  Needless to mention, I am very happy with the good, friendly and efficient service that Terri provided !!I will definitely call Aardy again next time we travel !!Elizabeth Reichardt"
2409,Michelle Sagert,US,"Nov 12, 2021",I called to purchase travel insurance. I spoke to a very nice agent named Matthew. I had looked online and had a plan I was interested in. After explaining what coverage I needed Matthew helped me find a more appropriate policy. He was very helpful.
2410,Romuald Veglia,US,"Nov 12, 2021",N/A
2411,Dennis Schwartz,US,"Nov 12, 2021",N/A
2412,John Henry,VG,"Nov 12, 2021",N/A
2413,Customer,US,"Nov 12, 2021",Answered all my questions. Very knowledgeable and helpful. I explained what I needed and he recommended the least expensive policy that would suit my needs.
2414,Ann In Oregon,US,"Nov 11, 2021",Great to be able to compare without having to go to each website.  Thank you!
2415,Customer,US,"Nov 11, 2021",Matthew was very patient and knowledgeable about all my questions.
2416,Robert H,US,"Nov 11, 2021","I had checked a couple other sites before I went to Aardy, so I had a pretty good idea as to what was available and what it would cost.  I found their recommendations to be quite helpful, and in line with what I had already investigated.  I did have some questions, so I called their advisor.  I got a real person on the line who was able to answer my questions promptly and signed me up for the recommended policy in a matter of a few minutes.  Easy and stress-free."
2417,Customer,US,"Nov 11, 2021",Our agent was knowledgeable and helped us with our options. He answered the phone promptly and never put us on hold.
2418,Customer,US,"Nov 11, 2021",Everything was handled perfectly by Jerome
2419,Helen H.,US,"Nov 11, 2021",Agents..chat and telephone...were both amazing.  I really appreciate the simplicity of getting information and completing the purchase of our travel protection policy.
2420,Hank,US,"Nov 11, 2021",Very helpful and most professional.  Really helped me undestand what I waqs buying.
2421,Richard T.,US,"Nov 11, 2021",We found the site information thorough and easy to understand.
2422,Lb,US,"Nov 10, 2021",Very easy to use website. It is so helpful to be able to compare plans. The representative answered all of my questions. This was a quick and easy process.
2423,Haskin,US,"Nov 10, 2021",Easy to use website to compare many different travel insurance plans.
2424,Kelly,US,"Nov 10, 2021",N/A
2425,Billie,US,"Nov 10, 2021",Gave me good basic info regarding what is recommended when purchasing travel insurance so I could tailor to my needs.  Liked having comparison in one spot to review and make my decision.
2426,Jim Voogt,US,"Nov 10, 2021",Excellent method to find best coverage for our trip.
2427,Gayle Dolecek,US,"Nov 10, 2021",I have been searching for a policy for a cruise and Aardy found me the best policy at the best price.  It was easy to use their website and they offered policies from many companies and provided very good comparison information to assist me in my selection.
2428,Customer,US,"Nov 10, 2021",Very good customer service
2429,Terri,US,"Nov 10, 2021",Easy to compare plans and purchase.  Just hope we don't need to use it :)
2430,William Thompson,US,"Nov 10, 2021",The Aardy agent working with me on picking the right policy was most professional and helpful.Have used Aardy.com in the past and have been most satisfied.
2431,Deborah Brooks,US,"Nov 10, 2021",This was an easy process and affordable verses another quote I was given through the trip I am taking.  I will use this again  Thank you.
2432,Customer,US,"Nov 10, 2021",I was able to speak with an agent quickly. The agent was friendly and answered my questions.
2433,Ann Sw,US,"Nov 10, 2021",Easy process and ALL questions were answered
2434,Traveler To Chile,US,"Nov 10, 2021",I had great service through the chat with a follow-up email that included the travel insurance plans I was interested in and an easy purchase. The chat person was actually helpful and not a frustrating bot. Yay for real people!
2435,D. Fay,US,"Nov 10, 2021",He answered all my questions and spelled out the benefits of the insurance.
2436,Carl,US,"Nov 9, 2021",Very competitive pricing and very responsive live chat line to answer questions about coverage
2437,Customer Dar,US,"Nov 9, 2021",That was quick and easy prices and company very good
2438,Customer,US,"Nov 9, 2021","Very good customer service, clear and prompt explanations,Good employee, and salesmen."
2439,Charles Zito,US,"Nov 9, 2021",Been using this Insurance for International Travel for 3 yrs now.  Very dependable Company
2440,Customer Tony Thomas,US,"Nov 9, 2021","So far I am satisfied and I hope My wife don't"" have to use IT. Great price"
2441,Chuck L.,US,"Nov 9, 2021","Your agent, Katrina, was kind, courteous, PATIENT, AND KNOWLEDGEABLE.  This was my first time getting travel insurance and she made the experience painless.   Thank you Katrina!!!!"
2442,Customer,US,"Nov 9, 2021","Agent was extremely professional, knowledgeable and guided me to a wise choice."
2443,Bh,US,"Nov 8, 2021",Agent was very helpful for making recommendations on how to supplement my existing coverage with the Holland America cancellation policy.  Hint: To get just medical put the cost to 0.
2444,Judy M,US,"Nov 8, 2021",Very easy to purchase on the website.  Gives you security in case your trip is cancelled.  Very inexpensive.
2445,Customer,US,"Nov 8, 2021",N/A
2446,G.A,US,"Nov 8, 2021","so far so good. Jerome had a great deal of patience with my questions, answered them thoroughly, and made me feel comfortable about the policy I purchased for my trip. I hope I don't need it but feel good that it will be valuable should I need to use it"
2447,Jeffrey Davis,US,"Nov 8, 2021",Aardy is by far the best and easiest user trendily travel insurance site I've ever used. Prices are more times that not lower that other insurers for what you get in the package
2448,Customer,US,"Nov 8, 2021",Being new to travel insurance I needed a little  guidance. Jerome provided that and more . I am happy with their help.
